# ABCx3 canonical Hungarian classic-tile lexicon v1
# key=base64url one-byte token identifiers; value=NFC surface
# Compatibility aliases first; preferred physical spelling follows.
Ah4hHR0BEA	átússzak
Ah4hHR0BFAEQ	átússzanak
Ah4hHR0CEA	átússzák
Ah4hHR0WFA	átússzon
Ah4hHR0gEA	átússzuk
Ah4hHR0gFBA	átússzunk
Ah4kBx0dIhA	átvesszük
Ah4kDR0dIhA	átvisszük
AwEKAiYmARE	bagázzsal
AwEKAiYmAg	bagázzsá
AwEKFhISARE	bagollyal
AwEKFhISAg	bagollyá
AwEKFwUFARE	bagóccsal
AwEKFwUFAg	bagóccsá
AwEPIB0dARE	bajusszal
AwEPIB0dAg	bajusszá
AwEQARQFBQER	bakanccsal
AwEQARQFBQI	bakanccsá
AwEQCQ0fHw	bakfitty
AwERARQdHQER	balansszal
AwERARQdHQI	balansszá
AwERAR4WFRUN	balatonnyi
AwERCQEdHQER	balfasszal
AwERCQEdHQI	balfasszá
AwETAyAdHQER	bambusszal
AwETAyAdHQI	bambusszá
AwEUBgImJgER	bandázzsal
AwEUBgImJgI	bandázzsá
AwEUEA8HCwsI	bankjeggyé
AwEbAQMWEhIC	barabollyá
AwEbDAcdHQER	barhesszal
AwEbDAcdHQI	barhesszá
AwEbDAcdHQcR	barhesszel
AwEbDAcdHQg	barhesszé
AwEdHQ	bassz
AwEdHQE	bassza
AwEdHQEG	basszad
AwEdHQEQ	basszak
AwEdHQERARA	basszalak
AwEdHQET	basszam
AwEdHQEUARA	basszanak
AwEdHQEeFhA	basszatok
AwEdHQIQ	basszák
AwEdHQIR	basszál
AwEdHQIeFhA	basszátok
AwEdHQgQ	basszék
AwEdHQ0cHgE	basszista
AwEdHQ0cHgIQ	basszisták
AwEdHQ0cHgIU	basszistán
AwEdHQ0cHgIe	basszistát
AwEdHRYU	basszon
AwEdHSAQ	basszuk
AwEdHSAUEA	basszunk
AwEdHSAc	basszus
AwEdHSAcAQ	basszusa
AwEdHSAcAg0K	basszusáig
AwEdHSAcAhQ	basszusán
AwEdHSAcAhsB	basszusára
AwEdHSAcAh4	basszusát
AwEdHSAcAwE	basszusba
AwEdHSAcAwEU	basszusban
AwEdHSAcAxcR	basszusból
AwEdHSAcCBse	basszusért
AwEdHSAcDBYl	basszushoz
AwEdHSAcDQo	basszusig
AwEdHSAcFAEQ	basszusnak
AwEdHSAcFAIR	basszusnál
AwEdHSAcFhA	basszusok
AwEdHSAcFhQ	basszuson
AwEdHSAcFhw	basszusos
AwEdHSAcGwE	basszusra
AwEdHSAcGxcR	basszusról
AwEdHSAcHAER	basszussal
AwEdHSAcHAI	basszussá
AwEdHSAcHg	basszust
AwEdHSAcHhcR	basszustól
AwEdHSAcIBE	basszusul
AwEdHSAcIQ	basszusú
AwEfHxYK	battyog
AwEfHxYKBg	battyogd
AwEfHxYKDAEe	battyoghat
AwEfHxYKDw	battyogj
AwEfHxYKDwE	battyogja
AwEfHxYKDwEG	battyogjad
AwEfHxYKDwEQ	battyogjak
AwEfHxYKDwET	battyogjam
AwEfHxYKDwIQ	battyogják
AwEfHxYKDwIR	battyogjál
AwEfHxYKDxYU	battyogjon
AwEfHxYKDyAQ	battyogjuk
AwEfHxYKEQEQ	battyoglak
AwEfHxYKFAE	battyogna
AwEfHxYKFAEQ	battyognak
AwEfHxYKFAI	battyogná
AwEfHxYKFAIG	battyognád
AwEfHxYKFAIQ	battyognák
AwEfHxYKFAIR	battyognál
AwEfHxYKFAIT	battyognám
AwEfHxYKFAgQ	battyognék
AwEfHxYKFA0	battyogni
AwEfHxYKFA0B	battyognia
AwEfHxYKFBYG	battyognod
AwEfHxYKFBYT	battyognom
AwEfHxYKFgY	battyogod
AwEfHxYKFhA	battyogok
AwEfHxYKFhM	battyogom
AwEfHxYKFh4e	battyogott
AwEfHxYKFw	battyogó
AwEfHxYKHQ	battyogsz
AwEfHxYKHgE	battyogta
AwEfHxYKHgEG	battyogtad
AwEfHxYKHgEQ	battyogtak
AwEfHxYKHgET	battyogtam
AwEfHxYKHgIQ	battyogták
AwEfHxYKHgIR	battyogtál
AwEfHxYKHhYQ	battyogtok
AwEfHxYKHiAQ	battyogtuk
AwEfHxYKIBQQ	battyogunk
AwEfHxYKJAE	battyogva
AwILAR0d	bágyassz
AwILAR0dAQ	bágyassza
AwILAR0dAQY	bágyasszad
AwILAR0dARA	bágyasszak
AwILAR0dARM	bágyasszam
AwILAR0dAhA	bágyasszák
AwILAR0dAhE	bágyasszál
AwILAR0dFhQ	bágyasszon
AwILAR0dIBA	bágyasszuk
AwIRJAIVFQER	bálvánnyal
AwIRJAIVFQI	bálvánnyá
AwITCB0dARE	bámésszal
AwITCB0dAg	bámésszá
AwIVAh0d	bányássz
AwIVAh0dAQ	bányássza
AwIVAh0dAQY	bányásszad
AwIVAh0dARA	bányásszak
AwIVAh0dARE	bányásszal
AwIVAh0dARM	bányásszam
AwIVAh0dAg	bányásszá
AwIVAh0dAhA	bányásszák
AwIVAh0dAhE	bányásszál
AwIVAh0dCBA	bányásszék
AwIVAh0dFhQ	bányásszon
AwIVAh0dIBA	bányásszuk
AwIbAhUVARE	báránnyal
AwIbAhUVAg	báránnyá
AwIbEwcSEgcR	bármellyel
AwIbEwcSEgg	bármellyé
AwIbEwcVFQ0	bármennyi
AwIbEwcVFQ0Q	bármennyik
AwIbEwcVFQ0U	bármennyin
AwIbEwcVFQ0e	bármennyit
AwIbHBYVFQER	bársonnyal
AwIbHBYVFQI	bársonnyá
AwcBBiQCFRUC	beadvánnyá
AwcBEAEdHQE	beakassza
AwcCGwEdHQE	beárassza
AwcDAR0dAQ	bebassza
AwcDAR0dIBA	bebasszuk
AwcDAR0dIBQQ	bebasszunk
AwcDAR8fFgo	bebattyog
AwcEHR0X	becsszó
AwcEHR0XGwE	becsszóra
AwcFBQcR	beccsel
AwcFBQg	beccsé
AwcFFh0dARQ	becsosszan
AwcFIB0dARQ	becsusszan
AwcFIR0dARA	becsússzak
AwcFIR0dCBA	becsússzék
AwcFIR0dFhQ	becsússzon
AwcFJAILCwI	becsvággyá
AwcHGwcdHQc	beeressze
AwcHGwcdHQcQ	beeresszek
AwcHGwcdHQcT	beeresszem
AwcHGwcdHQcU	beeresszen
AwcHGwcdHQgQ	beeresszék
AwcJIAUFFhE	befuccsol
AwcJIAUFFhEX	befuccsoló
AwcJIAUFFhEe	befuccsolt
AwcKBxUVBwYe	begennyedt
AwcLCwcR	beggyel
AwcLCwg	beggyé
AwcNEREHHR0	beillessz
AwcNEREHHR0H	beillessze
AwcNHR0B	beissza
AwcNHR0CEA	beisszák
AwcPAh4dHQE	bejátssza
AwcPAh4dHQIQ	bejátsszák
AwcPAh4dHSAQ	bejátsszuk
AwcPGB0d	bejössz
AwcQAR0dAhE	bekasszál
AwcQBwUFBxE	bekeccsel
AwcQBwUFCA	bekeccsé
AwcQBx8fBxQe	bekettyent
AwcQIR0dARA	bekússzak
AwcQIR0dFhQ	bekússzon
AwcRAwcFBQcR	belbeccsel
AwcRAwcFBQg	belbeccsé
AwcRBwUhHR0	belecsússz
AwcRBw0dHQE	beleissza
AwcRBw8YHR0	belejössz
AwcRByEdHRYU	beleússzon
